[2020-12-21T22:10:39.352Z] INFO user with the id: 32bf9b60-ddec-4d90-b0ba-968ebff6df4c logged in (host=nox-desktop, name=network_logger, pid=7056)
[2020-12-21T22:10:48.582Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=7056)
[2020-12-21T22:12:27.753Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=2296)
[2020-12-21T22:12:42.174Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=6936)
[2020-12-21T22:14:38.781Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=15144)
[2020-12-21T22:14:43.804Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=15144)
[2020-12-21T22:14:48.817Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=15144)
[2020-12-21T22:14:54.577Z] INFO user with the id: 32bf9b60-ddec-4d90-b0ba-968ebff6df4c logged in (host=nox-desktop, name=network_logger, pid=15144)
[2020-12-21T22:14:59.917Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=15144)
[2020-12-21T22:15:04.945Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=15144)
[2020-12-21T22:15:18.025Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=15144)
[2020-12-21T22:15:29.087Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=15144)
[2020-12-21T22:15:34.114Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=15144)
[2020-12-21T22:19:58.690Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=4196)
[2020-12-21T22:20:53.945Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=18776)
[2020-12-21T22:47:16.695Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=10496)
[2020-12-21T22:47:17.346Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=10496)
[2020-12-21T22:47:22.364Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=10496)
[2020-12-21T22:47:23.399Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=10496)
[2020-12-21T22:47:24.429Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=10496)
[2020-12-21T22:47:25.459Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=10496)
[2020-12-21T22:47:26.494Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=10496)
[2020-12-21T22:47:28.535Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=10496)
[2020-12-21T22:47:31.557Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=10496)
[2020-12-21T22:47:36.581Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=10496)
[2020-12-21T22:47:44.621Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=10496)
[2020-12-21T22:47:57.654Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=10496)
[2020-12-21T22:48:18.677Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=10496)
[2020-12-21T22:48:52.702Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=10496)
[2020-12-21T22:49:48.343Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=10496)
[2020-12-21T22:50:24.269Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=10496)
[2020-12-21T22:51:11.736Z] INFO user with the id: 32bf9b60-ddec-4d90-b0ba-968ebff6df4c logged in (host=nox-desktop, name=network_logger, pid=10496)
[2020-12-21T22:51:15.946Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=10496)
[2020-12-21T22:52:45.345Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=10496)
[2020-12-21T22:52:50.360Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=10496)
[2020-12-21T23:21:11.771Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=10376)
[2020-12-21T23:21:16.999Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=9264)
[2020-12-21T23:21:17.011Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=9264)
[2020-12-21T23:21:18.474Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=9264)
[2020-12-21T23:21:22.287Z] INFO user with the id: 32bf9b60-ddec-4d90-b0ba-968ebff6df4c logged in (host=nox-desktop, name=network_logger, pid=9264)
[2020-12-21T23:21:26.098Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=9264)
[2020-12-21T23:21:26.721Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=9264)
[2020-12-21T23:21:32.098Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=9264)
[2020-12-21T23:21:53.126Z] INFO user with the id: 32bf9b60-ddec-4d90-b0ba-968ebff6df4c logged in (host=nox-desktop, name=network_logger, pid=8724)
[2020-12-21T23:21:59.258Z] INFO jwt token expired (host=nox-desktop, name=network_logger, pid=8724)
[2020-12-25T16:49:01.409Z] INFO user with the id: de4315ed-73b6-438b-8e9e-b1fc55cf551b logged in (host=ea7beb035c73, name=network_logger, pid=90)
[2020-12-25T19:55:15.393Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=149)
[2020-12-25T20:02:52.702Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=264)
[2020-12-25T20:03:05.024Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=276)
[2020-12-25T20:03:10.303Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=288)
[2020-12-25T20:07:08.389Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=300)
[2020-12-25T20:08:47.413Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=312)
[2020-12-25T20:08:51.857Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=324)
[2020-12-25T20:08:58.160Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=336)
[2020-12-25T20:09:09.957Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=348)
[2020-12-25T20:09:35.058Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=360)
[2020-12-25T20:10:30.318Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=372)
[2020-12-25T20:10:36.628Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=384)
[2020-12-25T20:10:55.152Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=396)
[2020-12-25T20:11:51.577Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=408)
[2020-12-25T20:12:36.090Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=420)
[2020-12-25T20:12:44.802Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=439)
[2020-12-25T20:12:58.265Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=451)
[2020-12-25T20:17:11.402Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=463)
[2020-12-25T20:19:07.703Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=475)
[2020-12-25T20:19:26.408Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=487)
[2020-12-25T20:19:29.997Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=499)
[2020-12-25T20:19:36.992Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=511)
[2020-12-25T20:19:44.050Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=523)
[2020-12-25T20:19:45.719Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=535)
[2020-12-25T20:19:49.936Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=547)
[2020-12-25T20:20:29.014Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=559)
[2020-12-25T20:20:51.979Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=571)
[2020-12-25T20:26:01.467Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=667)
[2020-12-25T20:26:28.315Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=679)
[2020-12-25T20:26:40.750Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=691)
[2020-12-25T20:28:01.985Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=703)
[2020-12-25T20:28:58.696Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=715)
[2020-12-25T20:29:03.352Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=727)
[2020-12-25T20:29:22.706Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=739)
[2020-12-25T20:29:50.450Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=751)
[2020-12-25T20:29:56.248Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=763)
[2020-12-25T20:30:06.054Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=775)
[2020-12-25T20:37:00.830Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=787)
[2020-12-25T20:37:15.427Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=799)
[2020-12-25T20:44:31.205Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=811)
[2020-12-25T20:44:52.430Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=823)
[2020-12-25T20:45:02.349Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=835)
[2020-12-25T20:45:58.658Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=847)
[2020-12-25T20:46:04.866Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=859)
[2020-12-25T20:46:27.534Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=871)
[2020-12-25T20:46:32.287Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=883)
[2020-12-25T20:47:15.860Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=895)
[2020-12-25T20:47:20.857Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=907)
[2020-12-25T20:47:31.899Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=919)
[2020-12-25T20:48:14.454Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=931)
[2020-12-25T20:48:37.699Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=950)
[2020-12-25T20:49:07.319Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=969)
[2020-12-25T20:49:21.952Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=981)
[2020-12-25T20:49:32.457Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=993)
[2020-12-25T20:49:43.506Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1017)
[2020-12-25T20:49:49.180Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1029)
[2020-12-25T20:49:53.620Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1041)
[2020-12-25T20:50:09.623Z] INFO user with the id: 9255d0e7-9eb7-4a5b-9895-1407f9f11b6e logged in (host=cc76d8ff70ba, name=network_logger, pid=1041)
[2020-12-25T20:53:16.337Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1053)
